"COUNTRY","Country","VARIABLE","Variable","MEASURE","Measure","YEAR","Year","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"ARM","Armenia","I-CPV-TOT-INLD","Total inland transport infrastructure capital value","EUR","Euro","2016","2016","EUR","Euro","0","Units",,,12485764.39665,,
"ARM","Armenia","I-CPV-RL","Rail infrastructure capital value","EUR","Euro","2008","2008","EUR","Euro","0","Units",,,24375250.853067,,
"ARM","Armenia","I-CPV-RL","Rail infrastructure capital value","EUR","Euro","2009","2009","EUR","Euro","0","Units",,,53232429.134984,,
"ARM","Armenia","I-CPV-RL","Rail infrastructure capital value","EUR","Euro","2010","2010","EUR","Euro","0","Units",,,44356152.154879,,
"ARM","Armenia","I-CPV-RL","Rail infrastructure capital value","EUR","Euro","2011","2011","EUR","Euro","0","Units",,,264308098.81029,,
"ARM","Armenia","I-CPV-RL","Rail infrastructure capital value","EUR","Euro","2012","2012","EUR","Euro","0","Units",,,23930712.440008,,
"ARM","Armenia","I-CPV-RL","Rail infrastructure capital value","EUR","Euro","2013","2013","EUR","Euro","0","Units",,,11695989.213828,,
"ARM","Armenia","I-CPV-RL","Rail infrastructure capital value","EUR","Euro","2014","2014","EUR","Euro","0","Units",,,12038931.504086,,
"ARM","Armenia","I-CPV-RL","Rail infrastructure capital value","EUR","Euro","2015","2015","EUR","Euro","0","Units",,,11716916.550489,,
"ARM","Armenia","I-CPV-RL","Rail infrastructure capital value","EUR","Euro","2016","2016","EUR","Euro","0","Units",,,5638756.5770603,,
